external_id,SMILES,original_format_type,value,units,source,measurement_type,reference,is_open,is_predicted
120,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,SMILES,-0.67,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
121,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,SMILES,-0.02,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
122,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,SMILES,0.61,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
123,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,SMILES,0.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
124,CSC(=N)N,SMILES,-0.6,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
125,CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,SMILES,-0.48,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
126,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,SMILES,0.23,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
127,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,SMILES,0.2,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
128,C(OC(C(F)(F)F)C(F)(F)F)F,SMILES,0.3,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
129,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,SMILES,-0.28,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
130,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,SMILES,0.26,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
131,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,SMILES,0.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
132,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,SMILES,0.64,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
133,[Kr],SMILES,-0.16,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
134,CN1C=NC2=C1C(=O)NC(=O)N2C,SMILES,-0.29,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
135,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,SMILES,0.26,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
136,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,SMILES,-0.49,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
137,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,SMILES,0.67,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
138,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,SMILES,1.43,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
139,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,SMILES,1.44,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
140,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-],SMILES,-0.74,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
141,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,SMILES,-0.48,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
142,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,SMILES,0.6,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
143,CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4,SMILES,0.23,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
144,C1CCC2=NN=NN2CC1,SMILES,-0.03,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
145,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,SMILES,-0.21,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
146,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,SMILES,-1.03,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
147,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,SMILES,0.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
148,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,SMILES,0,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
149,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,SMILES,-0.78,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
150,CCCCN1CC2CC3=CC(=C(C=C3C2C1)OC)OC.Cl,SMILES,0.31,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
151,C(Cl)(Cl)Cl,SMILES,0.26,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
152,C(C(C(C(C(CO)O)O)O)O)O,SMILES,-1.6,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
153,CCCCCO,SMILES,0.2,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
154,CC(Cl)(Cl)Cl,SMILES,0.24,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
155,C(Cl)Cl,SMILES,-0.17,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
156,C(=S)=S,SMILES,0.6,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
157,C1CC1,SMILES,0.03,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
158,C1CO1,SMILES,0.01,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
159,CC(C)Br,SMILES,0.56,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
160,CC(Cl)Cl,SMILES,-0.28,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
161,CC(C)(C)O,SMILES,0.11,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
162,CCC(C)(C)C,SMILES,1.03,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
163,CCC(C)(C)O,SMILES,0.07,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
164,C(C(F)(F)F)Cl,SMILES,-0.08,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
165,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3,SMILES,0.58,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
166,CCCCC1(C(=O)NC(=O)NC1=O)CC,SMILES,0.19,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
167,CC(C)CO,SMILES,-0.17,log units,Muehlbacher2008,logBB,Muehlbacher_2011,TRUE,FALSE
